Run	Experiment	Platform	LibraryName	LibraryLayout	Sample	ScientificName	SampleName
SRR31728579	SRX27090865	BGISEQ	PC_2581114	SINGLE	SRS23549818	Phascolarctos cinereus	K_2581114
SRR31728578	SRX27090866	BGISEQ	PC_2581115	SINGLE	SRS23549819	Phascolarctos cinereus	K_2581115
SRR31728577	SRX27090867	BGISEQ	PC_4	SINGLE	SRS23549820	Phascolarctos cinereus	K_4
SRR31728576	SRX27090868	BGISEQ	PC_449217	SINGLE	SRS23549821	Phascolarctos cinereus	K_449217
SRR31728575	SRX27090869	BGISEQ	PC_1015_OSL	SINGLE	SRS23549822	Phascolarctos cinereus	K_1015_OSL
SRR31728574	SRX27090870	BGISEQ	PC_551224215	SINGLE	SRS23549823	Phascolarctos cinereus	K_551224215
SRR31728573	SRX27090871	BGISEQ	PC_5593.W1	SINGLE	SRS23549824	Phascolarctos cinereus	K_5593.W1
SRR31728572	SRX27090872	BGISEQ	PC_582119	SINGLE	SRS23549825	Phascolarctos cinereus	K_582119
SRR31728571	SRX27090873	BGISEQ	PC_582601	SINGLE	SRS23549826	Phascolarctos cinereus	K_582601
SRR31728570	SRX27090874	BGISEQ	PC_59714	SINGLE	SRS23549827	Phascolarctos cinereus	K_59714
SRR31728569	SRX27090875	BGISEQ	PC_640803	SINGLE	SRS23549828	Phascolarctos cinereus	K_640803
SRR31728568	SRX27090876	BGISEQ	PC_786	SINGLE	SRS23549829	Phascolarctos cinereus	K_786
SRR31728567	SRX27090877	BGISEQ	PC_J6480	SINGLE	SRS23549830	Phascolarctos cinereus	K_J6480
SRR31728566	SRX27090878	BGISEQ	PC_J7209	SINGLE	SRS23549831	Phascolarctos cinereus	K_J7209
SRR31728565	SRX27090879	BGISEQ	PC_JM1875	SINGLE	SRS23549832	Phascolarctos cinereus	K_JM1875
SRR31728564	SRX27090880	BGISEQ	PC_159224	SINGLE	SRS23549833	Phascolarctos cinereus	K_159224
SRR31728563	SRX27090881	BGISEQ	PC_JM64	SINGLE	SRS23549834	Phascolarctos cinereus	K_JM64
SRR31728562	SRX27090882	BGISEQ	PC_N65609	SINGLE	SRS23549835	Phascolarctos cinereus	K_N65609
SRR31728560	SRX27090883	BGISEQ	PC_NY42903	SINGLE	SRS23549836	Phascolarctos cinereus	K_NY42903
SRR31728559	SRX27090884	BGISEQ	PC_NY65607	SINGLE	SRS23549837	Phascolarctos cinereus	K_NY65607
SRR31728558	SRX27090885	BGISEQ	PC_NY65608	SINGLE	SRS23549838	Phascolarctos cinereus	K_NY65608
SRR31750136	SRX27090885	BGISEQ	PC_NY65608	SINGLE	SRS23549838	Phascolarctos cinereus	K_NY65608
SRR31728561	SRX27090886	BGISEQ	PC_NY65612	SINGLE	SRS23549839	Phascolarctos cinereus	K_NY65612
SRR31728557	SRX27090887	BGISEQ	PC_ST582119	SINGLE	SRS23549840	Phascolarctos cinereus	K_ST582119
SRR31728556	SRX27090888	BGISEQ	PC_WGM043_1368	PAIRED	SRS23549841	Phascolarctos cinereus	WGM043_1368
SRR31728555	SRX27090889	BGISEQ	PC_WGM043_309	PAIRED	SRS23549842	Phascolarctos cinereus	WGM043_309
SRR31728554	SRX27090890	BGISEQ	PC_WGM043_310	PAIRED	SRS23549843	Phascolarctos cinereus	WGM043_310
SRR31728553	SRX27090891	BGISEQ	PC_1712121	SINGLE	SRS23549844	Phascolarctos cinereus	K_1712121
SRR31728552	SRX27090892	BGISEQ	PC_WGM043_326	PAIRED	SRS23549845	Phascolarctos cinereus	WGM043_326
SRR31728551	SRX27090893	BGISEQ	PC_WGM043_327	PAIRED	SRS23549846	Phascolarctos cinereus	WGM043_327
SRR31728550	SRX27090894	BGISEQ	PC_WGM043_330	PAIRED	SRS23549847	Phascolarctos cinereus	WGM043_330
SRR31728549	SRX27090895	BGISEQ	PC_WGM043_331	PAIRED	SRS23549848	Phascolarctos cinereus	WGM043_331
SRR31728548	SRX27090896	BGISEQ	PC_WGM043_384	PAIRED	SRS23549849	Phascolarctos cinereus	WGM043_384
SRR31728547	SRX27090897	BGISEQ	PC_WGM043_410	PAIRED	SRS23549850	Phascolarctos cinereus	WGM043_410
SRR31728546	SRX27090898	BGISEQ	PC_WGM043_461	PAIRED	SRS23549851	Phascolarctos cinereus	WGM043_461
SRR31728545	SRX27090899	BGISEQ	PC_WGM043_462	PAIRED	SRS23549852	Phascolarctos cinereus	WGM043_462
SRR31728544	SRX27090900	BGISEQ	PC_WGM043_464	PAIRED	SRS23549853	Phascolarctos cinereus	WGM043_464
SRR31728543	SRX27090901	BGISEQ	PC_WGM043_465	PAIRED	SRS23549854	Phascolarctos cinereus	WGM043_465
SRR31728542	SRX27090902	BGISEQ	PC_1739	SINGLE	SRS23549855	Phascolarctos cinereus	K_1739
SRR31728541	SRX27090903	BGISEQ	PC_WGM043_467	PAIRED	SRS23549856	Phascolarctos cinereus	WGM043_467
SRR31728540	SRX27090904	BGISEQ	PC_WGM043_502	PAIRED	SRS23549857	Phascolarctos cinereus	WGM043_502
SRR31728539	SRX27090905	BGISEQ	PC_WGM043_503	PAIRED	SRS23549858	Phascolarctos cinereus	WGM043_503
SRR31728538	SRX27090906	BGISEQ	PC_WGM043_506	PAIRED	SRS23549859	Phascolarctos cinereus	WGM043_506
SRR31728537	SRX27090907	BGISEQ	PC_WGM043_721	PAIRED	SRS23549860	Phascolarctos cinereus	WGM043_721
SRR31728536	SRX27090908	BGISEQ	PC_WGM043_723	PAIRED	SRS23549861	Phascolarctos cinereus	WGM043_723
SRR31728535	SRX27090909	BGISEQ	PC_WGM043_738	PAIRED	SRS23549862	Phascolarctos cinereus	WGM043_738
SRR31728534	SRX27090910	BGISEQ	PC_WGM043_739	PAIRED	SRS23549863	Phascolarctos cinereus	WGM043_739
SRR31728533	SRX27090911	BGISEQ	PC_WGM043_869	PAIRED	SRS23549864	Phascolarctos cinereus	WGM043_869
SRR31728532	SRX27090912	BGISEQ	PC_WGM043_875	PAIRED	SRS23549865	Phascolarctos cinereus	WGM043_875
SRR31728531	SRX27090913	BGISEQ	PC_1868.2	SINGLE	SRS23549866	Phascolarctos cinereus	K_1868.2
SRR31728530	SRX27090914	BGISEQ	PC_WGM043_877	PAIRED	SRS23549867	Phascolarctos cinereus	WGM043_877
SRR31728529	SRX27090915	BGISEQ	PC_WGM043_886	PAIRED	SRS23549868	Phascolarctos cinereus	WGM043_886
SRR31728528	SRX27090916	BGISEQ	PC_22122917	SINGLE	SRS23549869	Phascolarctos cinereus	K_22122917
SRR31728527	SRX27090917	BGISEQ	PC_2510822	SINGLE	SRS23549870	Phascolarctos cinereus	K_2510822
SRR31750086	SRX27090917	BGISEQ	PC_2510822	SINGLE	SRS23549870	Phascolarctos cinereus	K_2510822
SRR31728526	SRX27090918	BGISEQ	PC_2581107	SINGLE	SRS23549871	Phascolarctos cinereus	K_2581107
SRR31728587	SRX27090857	BGISEQ	PC_1012_OSL	SINGLE	SRS23549810	Phascolarctos cinereus	K_1012_OSL
SRR31728586	SRX27090858	BGISEQ	PC_1013_OSL	SINGLE	SRS23549811	Phascolarctos cinereus	K_1013_OSL
SRR31728585	SRX27090859	BGISEQ	PC_2581108	SINGLE	SRS23549812	Phascolarctos cinereus	K_2581108
SRR31728584	SRX27090860	BGISEQ	PC_2581109	SINGLE	SRS23549813	Phascolarctos cinereus	K_2581109
SRR31752539	SRX27090860	BGISEQ	PC_2581109	SINGLE	SRS23549813	Phascolarctos cinereus	K_2581109
